Punchlist,Facility,City,State,Field,Old,New,Evidence
V25.8-P,ESSEX NURSING AND REHABILITATION CENTER,LOUISVILLE,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,ESSEX NURSING AND REHABILITATION CENTER,Louisville,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,LAKE WAY NURSING AND REHABILITATION CENTER,BENTON,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,LAKE WAY NURSING AND REHAB,Benton,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,MOUNTAIN VIEW NURSING AND REHABILITATION CENTER,PINEVILLE,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,MOUNTAIN VIEW NURSING AND REHAB,Pineville,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RIVERS EDGE NURSING AND REHABILITATION CENTER,PROSPECT,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,RIVERS EDGE NURSING AND REHABILITATION,Prospect,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,SOMERWOODS NURSING AND REHABILITATION CENTER,SOMERSET,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,TRI-CITIES NURSING AND REHABILITATION CENTER,CUMBERLAND,KY,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,AYDEN COURT NURSING AND REHABILITATION CENTER,AYDEN,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,AYDEN COURT NURSING AND REHABILITATION,Ayden,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
V25.8-P,BARBOUR COURT NURSING AND REHABILITATION CENTER,SMITHFIELD,NC,Corporate_Name,PRINCIPLE,PRINCIPLE LONG TERM CARE,"CMS Chain 423, Hill family Kinston NC"
