ccn_str,Facility Name,StateNorm,tag_label,has_ewh_psych,has_ewh_md,has_both,Psychiatry Provider 1,Medical Director Name,Survey Date,Scope Severity Code
155003,Mason Healthcare,Indiana,F0605,False,False,False,XXX,XXX,2025-08-26,D
155003,Mason Healthcare,Indiana,F0755,False,False,False,XXX,XXX,2025-08-26,D
155003,Mason Healthcare,Indiana,F0759,False,False,False,XXX,XXX,2025-08-26,D
155003,Mason Healthcare,Indiana,F0880,False,False,False,XXX,XXX,2025-08-26,D
155003,Mason Healthcare,Indiana,F0880,False,False,False,XXX,XXX,2024-08-30,D
155003,Mason Healthcare,Indiana,F0755,False,False,False,XXX,XXX,2023-12-28,E
155006,The Waters of Wabash East (Miller's),Indiana,F0880,True,False,False,Lisa Omo-Griffith,XXX,2025-03-12,D
155006,The Waters of Wabash East (Miller's),Indiana,F0867,True,False,False,Lisa Omo-Griffith,XXX,2025-05-22,D
155006,The Waters of Wabash East (Miller's),Indiana,F0880,True,False,False,Lisa Omo-Griffith,XXX,2025-05-22,D
155006,The Waters of Wabash East (Miller's),Indiana,F0880,True,False,False,Lisa Omo-Griffith,XXX,2024-03-21,D
155006,The Waters of Wabash East (Miller's),Indiana,F0880,True,False,False,Lisa Omo-Griffith,XXX,2023-06-30,E
155022,Willows of Shelbyville,Indiana,F0880,True,False,False,Cheryl Davis-Land,XXX,2025-12-23,D
155022,Willows of Shelbyville,Indiana,F0755,True,False,False,Cheryl Davis-Land,XXX,2024-05-02,D
155022,Willows of Shelbyville,Indiana,F0880,True,False,False,Cheryl Davis-Land,XXX,2024-02-22,D
155022,Willows of Shelbyville,Indiana,F0880,True,False,False,Cheryl Davis-Land,XXX,2023-07-26,D
155029,Community Nursing and Rehabilitation,Indiana,F0755,True,False,False,Tamala Ndenguma,XXX,2025-11-13,G
155029,Community Nursing and Rehabilitation,Indiana,F0756,True,False,False,Tamala Ndenguma,XXX,2025-04-25,D
155029,Community Nursing and Rehabilitation,Indiana,F0880,True,False,False,Tamala Ndenguma,XXX,2025-04-25,D
155029,Community Nursing and Rehabilitation,Indiana,F0759,True,False,False,Tamala Ndenguma,XXX,2024-04-22,D
155029,Community Nursing and Rehabilitation,Indiana,F0880,True,False,False,Tamala Ndenguma,XXX,2023-05-11,D
155061,Envive of Lawrenceburg,Indiana,F0880,True,True,True,Jared Caudill,Marwan Mustaklem,2025-03-17,D
155061,Envive of Lawrenceburg,Indiana,F0755,True,True,True,Jared Caudill,Marwan Mustaklem,2024-02-09,D
155061,Envive of Lawrenceburg,Indiana,F0867,True,True,True,Jared Caudill,Marwan Mustaklem,2023-01-09,D
155066,Edgewater Woods,Indiana,F0880,True,False,False,Tamala Ndenguma,XXX,2025-02-14,E
155066,Edgewater Woods,Indiana,F0880,True,False,False,Tamala Ndenguma,XXX,2024-03-25,D
155070,Green Valley,Indiana,F0760,True,False,False,Kimberly Schoengart,XXX,2023-08-21,G
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0880,True,True,True,Mary Nguru,Taryn Fernandes,2025-02-28,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0605,True,True,True,Mary Nguru,Taryn Fernandes,2025-11-21,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0757,True,True,True,Mary Nguru,Taryn Fernandes,2025-11-21,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0880,True,True,True,Mary Nguru,Taryn Fernandes,2025-11-21,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0755,True,True,True,Mary Nguru,Taryn Fernandes,2023-08-09,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0755,True,True,True,Mary Nguru,Taryn Fernandes,2024-11-14,D
155086,Woodland Manor Nursing and Rehabilitation,Indiana,F0880,True,True,True,Mary Nguru,Taryn Fernandes,2024-11-14,D
155095,Heritage Park - Employee Clinic,Indiana,F0757,False,False,False,XXX,XXX,2025-03-11,D
155095,Heritage Park AL,Indiana,F0757,True,False,False,Lisa Omo-Griffith,XXX,2025-03-11,D
155095,Heritage Park SNF,Indiana,F0757,True,False,False,Lisa Omo-Griffith,XXX,2025-03-11,D
155103,Trailpoint Village,Indiana,F0880,False,True,False,XXX,Donald Wolfram,2024-03-01,D
155103,Trailpoint Village,Indiana,F0759,False,True,False,XXX,Donald Wolfram,2023-01-04,D
155103,Trailpoint Village,Indiana,F0880,False,True,False,XXX,Donald Wolfram,2023-01-04,D
155106,Riverwalk Village,Indiana,F0755,False,True,False,XXX,Steven DeLee,2024-10-30,E
155106,Riverwalk Village,Indiana,F0880,False,True,False,XXX,Steven DeLee,2024-10-30,E
155106,Riverwalk Village,Indiana,F0760,False,True,False,XXX,Steven DeLee,2024-04-04,D
155106,Riverwalk Village,Indiana,F0880,False,True,False,XXX,Steven DeLee,2024-01-03,D
155106,Riverwalk Village,Indiana,F0880,False,True,False,XXX,Steven DeLee,2022-08-29,D
155118,Waters of LaGrange,Indiana,F0867,True,True,True,Jessica Hughes,Paul Kaplanis,2024-10-01,F
155132,Danville Regional Rehabilitation,Indiana,F0755,False,False,False,XXX,XXX,2023-02-28,D
155133,Belmont at Tipton Lakes Senior Living,Indiana,F0880,True,False,False,Betsy Harrison,XXX,2024-09-24,D
155133,Belmont at Tipton Lakes Senior Living,Indiana,F0755,True,False,False,Betsy Harrison,XXX,2024-05-03,D
155133,Belmont at Tipton Lakes Senior Living,Indiana,F0757,True,False,False,Betsy Harrison,XXX,2023-07-13,E
155138,Brickyard Healthcare - Churchman Care Center,Indiana,F0755,True,False,False,Tamala Ndenguma,XXX,2024-10-22,D
155138,Brickyard Healthcare - Churchman Care Center,Indiana,F0880,True,False,False,Tamala Ndenguma,XXX,2024-10-22,D
155139,North Woods Village,Indiana,F0880,True,True,True,Jessica Hughes,Vahid-David Sedaghat,2025-03-06,D
155139,North Woods Village,Indiana,F0880,True,True,True,Jessica Hughes,Vahid-David Sedaghat,2024-03-15,D
155143,Majestic Terre Haute,Indiana,F0757,True,False,False,Josephine Mwachande,XXX,2024-08-29,D
155149,Harcourt Terrace Nursing and Rehabilitation,Indiana,F0755,False,False,False,XXX,XXX,2025-01-28,D
155149,Harcourt Terrace Nursing and Rehabilitation,Indiana,F0755,False,False,False,XXX,XXX,2023-12-11,D
155149,Harcourt Terrace Nursing and Rehabilitation,Indiana,F0880,False,False,False,XXX,XXX,2022-09-26,E
155150,The Waters of Columbia City (Miller's),Indiana,F0760,True,True,True,Lisa Omo-Griffith,Paul Kaplanis,2024-02-22,J
155150,The Waters of Columbia City (Miller's),Indiana,F0880,True,True,True,Lisa Omo-Griffith,Paul Kaplanis,2024-10-21,E
155150,The Waters of Columbia City (Miller's),Indiana,F0880,True,True,True,Lisa Omo-Griffith,Paul Kaplanis,2023-09-29,E
155162,Autumn Ridge Rehabilitation Centre,Indiana,F0880,True,True,True,Lisa Omo-Griffith,Christopher Baltes,2025-03-31,D
155165,Riverview Village,Indiana,F0760,True,False,False,Sheena Steele,XXX,2024-08-27,D
155165,Riverview Village,Indiana,F0755,True,False,False,Sheena Steele,XXX,2023-06-27,D
155166,Valparaiso Care and Rehabilitation Center,Indiana,F0880,False,False,False,XXX,XXX,2024-08-09,D
155166,Valparaiso Care and Rehabilitation Center,Indiana,F0757,False,False,False,XXX,XXX,2023-07-14,D
155166,Valparaiso Care and Rehabilitation Center,Indiana,F0759,False,False,False,XXX,XXX,2023-07-14,D
155166,Valparaiso Care and Rehabilitation Center,Indiana,F0755,False,False,False,XXX,XXX,2023-04-03,D
155166,Valparaiso Care and Rehabilitation Center,Indiana,F0880,False,False,False,XXX,XXX,2022-08-11,D
155171,Franklin Meadows,Indiana,F0880,False,False,False,XXX,XXX,2025-09-16,D
155198,Marquette Manor  MC,Indiana,F0757,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor ALF,Indiana,F0757,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor SNF,Indiana,F0757,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor IL,Indiana,F0757,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor  MC,Indiana,F0759,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor ALF,Indiana,F0759,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor SNF,Indiana,F0759,False,False,False,XXX,XXX,2022-11-03,D
155198,Marquette Manor IL,Indiana,F0759,False,False,False,XXX,XXX,2022-11-03,D
155199,Maple Park Village,Indiana,F0757,False,False,False,XXX,XXX,2025-09-16,D
155199,Maple Park Village,Indiana,F0880,False,False,False,XXX,XXX,2025-09-16,D
155199,Maple Park Village,Indiana,F0755,False,False,False,XXX,XXX,2024-08-29,D
155199,Maple Park Village,Indiana,F0755,False,False,False,XXX,XXX,2023-03-22,D
155199,Maple Park Village,Indiana,F0880,False,False,False,XXX,XXX,2023-10-12,D
155200,University Nursing Center,Indiana,F0605,True,False,False,Jessica Hughes,XXX,2025-09-09,D
155200,University Nursing Center,Indiana,F0865,True,False,False,Jessica Hughes,XXX,2025-09-09,D
155200,University Nursing Center,Indiana,F0880,True,False,False,Jessica Hughes,XXX,2025-09-09,D
155200,University Nursing Center,Indiana,F0755,True,False,False,Jessica Hughes,XXX,2024-10-08,E
155203,Hillcrest Village,Indiana,F0755,True,False,False,Catherine Flem,XXX,2025-01-31,D
155203,Hillcrest Village,Indiana,F0755,True,False,False,Catherine Flem,XXX,2023-12-14,D
155203,Hillcrest Village,Indiana,F0755,True,False,False,Catherine Flem,XXX,2023-10-26,E
155203,Hillcrest Village,Indiana,F0760,True,False,False,Catherine Flem,XXX,2023-10-26,E
155203,Hillcrest Village,Indiana,F0760,True,False,False,Catherine Flem,XXX,2023-04-19,D
155203,Hillcrest Village,Indiana,F0880,True,False,False,Catherine Flem,XXX,2022-11-18,E
155205,Greencroft Goshen,Indiana,F0760,False,False,False,XXX,XXX,2025-08-11,D
155205,Greencroft Goshen,Indiana,F0605,False,False,False,XXX,XXX,2025-05-23,D
155205,Greencroft Goshen,Indiana,F0880,False,False,False,XXX,XXX,2025-05-23,D
155205,Greencroft Goshen,Indiana,F0760,False,False,False,XXX,XXX,2024-05-31,D
155208,Aperion Care Hanover ALF,Indiana,F0755,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover SNF,Indiana,F0755,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover ALF,Indiana,F0756,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover SNF,Indiana,F0756,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover ALF,Indiana,F0880,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover SNF,Indiana,F0880,False,False,False,XXX,XXX,2025-03-27,D
155208,Aperion Care Hanover ALF,Indiana,F0755,False,False,False,XXX,XXX,2024-01-10,D
155208,Aperion Care Hanover SNF,Indiana,F0755,False,False,False,XXX,XXX,2024-01-10,D
155208,Aperion Care Hanover ALF,Indiana,F0756,False,False,False,XXX,XXX,2024-01-10,D
155208,Aperion Care Hanover SNF,Indiana,F0756,False,False,False,XXX,XXX,2024-01-10,D
